panel,series,n,source,mean,ci_lo,ci_hi,units,seeds,grid,all_shape_mean,note
"honest, β = 0",oracle,100,sim,0.838997997997998,0.838047997997998,0.839919019019019,999.0,999.0,bernoulli_scale_v5,,
"honest, β = 0",oracle,100000,sim,0.8452289156626506,0.844188704819277,0.846182781124498,498.0,498.0,bernoulli_scale_v5,,
"honest, β = 0",seq. halving (peer),1000,sim,0.839961,0.8391879249999998,0.8407190000000001,1000.0,1000.0,bernoulli_scale_v5,,
"honest, β = 0",seq. halving (peer),1000000,sim,0.84482,0.843175,0.846550625,200.0,200.0,bernoulli_scale_v5,,
"honest, β = 0",seq. halving (peer),10,sim,0.642116,0.6388058499999999,0.6454454000000001,1000.0,1000.0,bernoulli_scale_v5,,
"honest, β = 0",seq. halving (peer),10000,sim,0.845009,0.8443189499999999,0.845733075,1000.0,1000.0,bernoulli_scale_v5,,
"honest, β = 0",seq. halving (peer),10000000,sim,0.8460399999999999,0.8437700000000001,0.8482900000000001,100.0,100.0,bernoulli_scale_v5,,
"honest, β = 0",seq. halving (peer),100,sim,0.799715,0.7982208749999999,0.801263225,1000.0,1000.0,bernoulli_scale_v5,,
"honest, β = 0",seq. halving (peer),100000,sim,0.845654,0.84461795,0.84665405,500.0,500.0,bernoulli_scale_v5,,
"honest, β = 0",MIDIAN-VA,1000,sim,0.7898019999999999,0.7888027000000002,0.7907961499999999,1000.0,1000.0,bernoulli_scale_v5,,
"honest, β = 0",MIDIAN-VA,1000000,sim,0.7995599999999999,0.797714625,0.8015001250000001,200.0,200.0,bernoulli_scale_v5,,
"honest, β = 0",MIDIAN-VA,10,sim,0.664421,0.66163565,0.667384275,1000.0,1000.0,bernoulli_scale_v5,,
"honest, β = 0",MIDIAN-VA,10000,sim,0.795871,0.7949249,0.7967921,1000.0,1000.0,bernoulli_scale_v5,,
"honest, β = 0",MIDIAN-VA,10000000,sim,0.8012500000000001,0.79839975,0.8042002500000002,100.0,100.0,bernoulli_scale_v5,,
"honest, β = 0",MIDIAN-VA,100,sim,0.768829,0.7672067,0.770410025,1000.0,1000.0,bernoulli_scale_v5,,
"honest, β = 0",MIDIAN-VA,100000,sim,0.797026,0.79564765,0.7983562,500.0,500.0,bernoulli_scale_v5,,
"honest, β = 0",MIDIAN-A,1000,sim,0.767291,0.766279,0.768270075,1000.0,1000.0,bernoulli_scale_v5,,
"honest, β = 0",MIDIAN-A,1000000,sim,0.768665,0.7660400000000002,0.7711201250000002,200.0,200.0,bernoulli_scale_v5,,
"honest, β = 0",MIDIAN-A,10,sim,0.6768109999999999,0.673936925,0.67978225,1000.0,1000.0,bernoulli_scale_v5,,
"honest, β = 0",MIDIAN-A,10000,sim,0.768524,0.76756775,0.7695140500000001,1000.0,1000.0,bernoulli_scale_v5,,
"honest, β = 0",MIDIAN-A,10000000,sim,0.77083,0.7675600000000001,0.7742202500000002,100.0,100.0,bernoulli_scale_v5,,
"honest, β = 0",MIDIAN-A,100,sim,0.759222,0.757770975,0.7606501999999999,1000.0,1000.0,bernoulli_scale_v5,,
"honest, β = 0",MIDIAN-A,100000,sim,0.768672,0.76725945,0.7700900500000001,500.0,500.0,bernoulli_scale_v5,,
"honest, β = 0",MIDIAN,1000,sim,0.7668830000000001,0.765891725,0.7678681750000002,1000.0,1000.0,bernoulli_scale_v5,,
"honest, β = 0",MIDIAN,1000000,sim,0.768665,0.7660400000000002,0.7711201250000002,200.0,200.0,bernoulli_scale_v5,,
"honest, β = 0",MIDIAN,10,sim,0.677005,0.6741659750000001,0.6799700500000001,1000.0,1000.0,bernoulli_scale_v5,,
"honest, β = 0",MIDIAN,10000,sim,0.768524,0.76756775,0.7695140500000001,1000.0,1000.0,bernoulli_scale_v5,,
"honest, β = 0",MIDIAN,10000000,sim,0.77083,0.7675600000000001,0.7742202500000002,100.0,100.0,bernoulli_scale_v5,,
"honest, β = 0",MIDIAN,100,sim,0.759047,0.7576068249999999,0.7604810249999999,1000.0,1000.0,bernoulli_scale_v5,,
"honest, β = 0",MIDIAN,100000,sim,0.768672,0.76725945,0.7700900500000001,500.0,500.0,bernoulli_scale_v5,,
"honest, β = 0",flat probe argmax (online),1000,sim,0.766967,0.765943975,0.767942125,1000.0,1000.0,bernoulli_scale_v5,,
"honest, β = 0",flat probe argmax (online),1000000,sim,0.7693000000000001,0.7671545000000001,0.771435,200.0,200.0,bernoulli_scale_v5,,
"honest, β = 0",flat probe argmax (online),10,sim,0.685472,0.68279575,0.6883300749999999,1000.0,1000.0,bernoulli_scale_v5,,
"honest, β = 0",flat probe argmax (online),10000,sim,0.768004,0.7669596500000001,0.769014,1000.0,1000.0,bernoulli_scale_v5,,
"honest, β = 0",flat probe argmax (online),10000000,sim,0.7690299999999999,0.7657492499999999,0.77232125,100.0,100.0,bernoulli_scale_v5,,
"honest, β = 0",flat probe argmax (online),100,sim,0.7636459999999999,0.7622208,0.7650903250000001,1000.0,1000.0,bernoulli_scale_v5,,
"honest, β = 0",flat probe argmax (online),100000,sim,0.7670779999999999,0.76575395,0.7684082999999998,500.0,500.0,bernoulli_scale_v5,,
"honest, β = 0",random,1000,sim,0.4188659999999999,0.4178529749999999,0.4198491499999999,1000.0,1000.0,bernoulli_scale_v5,,
"honest, β = 0",random,1000000,sim,0.41998,0.417809875,0.4221749999999999,200.0,200.0,bernoulli_scale_v5,,
"honest, β = 0",random,10,sim,0.419252,0.416102775,0.42246215,1000.0,1000.0,bernoulli_scale_v5,,
"honest, β = 0",random,10000,sim,0.4188199999999999,0.417885,0.4198063499999999,1000.0,1000.0,bernoulli_scale_v5,,
"honest, β = 0",random,10000000,sim,0.4176999999999999,0.4146497499999999,0.4208,100.0,100.0,bernoulli_scale_v5,,
"honest, β = 0",random,100,sim,0.418338,0.416896975,0.419696025,1000.0,1000.0,bernoulli_scale_v5,,
"honest, β = 0",random,100000,sim,0.41896,0.417634,0.4203039999999999,500.0,500.0,bernoulli_scale_v5,,
"honest, β = 0",declared argmax,"10000, 100000",sim,,,,,,bernoulli_scale_v5,,"not plotted at the simulated points: knn_router was not run there; declared_argmax there reads the programmatic (honest) channel, not the self-described one"
"honest, β = 0",RouterBench KNN router,"10000, 100000",sim,,,,,,bernoulli_scale_v5,,"not plotted at the simulated points: knn_router was not run there; declared_argmax there reads the programmatic (honest) channel, not the self-described one"
"honest, β = 0",ten frameworks (min),100,live,0.4547999999999999,,,10.0,,fw_live_n100,,
"honest, β = 0",ten frameworks (max),100,live,0.5639000000000001,,,10.0,,fw_live_n100,,
"honest, β = 0",ten frameworks (min),1000,live,0.3619,,,10.0,,fw_live_n1000,,
"honest, β = 0",ten frameworks (max),1000,live,0.4316999999999999,,,10.0,,fw_live_n1000,,
"honest, β = 0",ten frameworks (min),10000,live,0.25666666666666665,,,3.0,,live_n10k_v2,,
"honest, β = 0",ten frameworks (max),10000,live,0.36666666666666664,,,3.0,,live_n10k_v2,,
"honest, β = 0",ten frameworks (min),100000,live,0.2722222222222222,,,3.0,,fw_live_n100k_dd (clone-free shortlist),,
"honest, β = 0",ten frameworks (max),100000,live,0.5611111111111112,,,3.0,,fw_live_n100k_dd (clone-free shortlist),,
"colluding low-skill cartel, β = 0.5",oracle,100,live,0.8449,0.8333999999999999,0.8548025,10.0,10.0,learned_n100,0.7158333333333337,
"colluding low-skill cartel, β = 0.5",seq. halving (peer),100,live,0.5452999999999999,0.48119249999999997,0.6037999999999999,10.0,10.0,learned_n100,0.3725666666666667,
"colluding low-skill cartel, β = 0.5",MIDIAN-VA,100,live,0.768,0.7457975,0.7897025000000001,10.0,10.0,learned_n100,0.6573,
"colluding low-skill cartel, β = 0.5",MIDIAN-A,100,live,0.7771,0.7604000000000001,0.7941025,10.0,10.0,learned_n100,0.6557999999999999,
"colluding low-skill cartel, β = 0.5",MIDIAN,100,live,0.7405,0.7262,0.7566025000000001,10.0,10.0,learned_n100,0.5372333333333333,
"colluding low-skill cartel, β = 0.5",flat probe argmax (online),100,live,0.7805,0.7660975,0.7931,10.0,10.0,learned_n100,0.6614,
"colluding low-skill cartel, β = 0.5",RouterBench KNN router,100,live,0.6820999999999999,0.6517000000000001,0.712,10.0,10.0,learned_n100,0.5871,
"colluding low-skill cartel, β = 0.5",declared argmax,100,live,0.5181,0.48319999999999996,0.5504,10.0,10.0,learned_n100,0.5201000000000001,
"colluding low-skill cartel, β = 0.5",random,100,live,0.4258,0.4079975,0.4416025,10.0,10.0,fw_live_n100_lowskill,0.31506666666666666,
"colluding low-skill cartel, β = 0.5",oracle,1000,live,0.8612,0.8572,0.8655999999999999,10.0,10.0,variants_f1+learned_f1+live_f1_n1000,0.7229666666666665,
"colluding low-skill cartel, β = 0.5",seq. halving (peer),1000,live,0.6561,0.6256,0.6868025000000001,10.0,10.0,variants_f1+learned_f1+live_f1_n1000,0.4016333333333334,
"colluding low-skill cartel, β = 0.5",MIDIAN-VA,1000,live,0.8074,0.7972,0.8173999999999999,10.0,10.0,variants_f1+learned_f1+live_f1_n1000,0.6793666666666667,
"colluding low-skill cartel, β = 0.5",MIDIAN-A,1000,live,0.7914,0.7883,0.7937000000000001,10.0,10.0,variants_f1+learned_f1+live_f1_n1000,0.6655333333333335,
"colluding low-skill cartel, β = 0.5",MIDIAN,1000,live,0.7379333333333333,0.7245333333333334,0.7497025,10.0,10.0,variants_f1+learned_f1+live_f1_n1000,0.5686444444444444,
"colluding low-skill cartel, β = 0.5",flat probe argmax (online),1000,live,0.7870333333333334,0.7812325000000001,0.7924008333333334,10.0,10.0,variants_f1+learned_f1+live_f1_n1000,0.6670222222222221,
"colluding low-skill cartel, β = 0.5",RouterBench KNN router,1000,live,0.7265999999999999,0.6992900000000001,0.7489,10.0,10.0,variants_f1+learned_f1+live_f1_n1000,0.6135999999999999,
"colluding low-skill cartel, β = 0.5",declared argmax,1000,live,0.6259,0.6057,0.645,5.0,5.0,variants_f1+learned_f1+live_f1_n1000,0.5488999999999999,
"colluding low-skill cartel, β = 0.5",random,1000,live,0.43220000000000003,0.42309749999999996,0.4404,10.0,10.0,fw_live_n1000_lowskill,0.3146333333333333,
"colluding low-skill cartel, β = 0.5",oracle,10000,live,0.8588888888888889,0.8166666666666668,0.9,3.0,3.0,learned_n10k,,
"colluding low-skill cartel, β = 0.5",seq. halving (peer),10000,live,0.721111111111111,0.69,0.7433333333333333,3.0,3.0,learned_n10k,,
"colluding low-skill cartel, β = 0.5",MIDIAN-VA,10000,live,0.81,0.7866666666666666,0.8533333333333334,3.0,3.0,learned_n10k,,
"colluding low-skill cartel, β = 0.5",MIDIAN-A,10000,live,0.7811111111111112,0.7566666666666667,0.8166666666666668,3.0,3.0,learned_n10k,,
"colluding low-skill cartel, β = 0.5",MIDIAN,10000,live,0.7522222222222222,0.7066666666666667,0.8033333333333333,3.0,3.0,learned_n10k,,
"colluding low-skill cartel, β = 0.5",flat probe argmax (online),10000,live,0.7744444444444444,0.7166666666666667,0.83,3.0,3.0,learned_n10k,,
"colluding low-skill cartel, β = 0.5",RouterBench KNN router,10000,live,0.6855555555555556,0.63,0.7200000000000001,3.0,3.0,learned_n10k,,
"colluding low-skill cartel, β = 0.5",declared argmax,10000,live,0.5322222222222223,0.47,0.6066666666666667,3.0,3.0,learned_n10k,,
"colluding low-skill cartel, β = 0.5",oracle,100000,live,0.8622222222222221,0.83,0.8966666666666666,3.0,3.0,live_n100k,,
"colluding low-skill cartel, β = 0.5",MIDIAN-VA,100000,live,0.8277777777777778,0.8133333333333334,0.8366666666666666,3.0,3.0,live_n100k,,
"colluding low-skill cartel, β = 0.5",MIDIAN-A,100000,live,0.7488888888888888,0.7133333333333334,0.79,3.0,3.0,live_n100k,,
"colluding low-skill cartel, β = 0.5",MIDIAN,100000,live,0.7055555555555556,0.68,0.7466666666666667,3.0,3.0,live_n100k,,
"colluding low-skill cartel, β = 0.5",flat probe argmax (online),100000,live,0.7488888888888888,0.7033333333333335,0.8066666666666666,3.0,3.0,live_n100k,,
"colluding low-skill cartel, β = 0.5",RouterBench KNN router,100000,live,0.6922222222222222,0.6333333333333333,0.7566666666666667,3.0,3.0,live_n100k,,
"colluding low-skill cartel, β = 0.5",declared argmax,100000,live,0.5777777777777778,0.5433333333333333,0.6133333333333333,3.0,3.0,live_n100k,,
"colluding low-skill cartel, β = 0.5",random,100000,live,0.44222222222222224,0.42,0.47333333333333333,3.0,3.0,live_n100k,,
"colluding low-skill cartel, β = 0.5",oracle,1000,sim,0.8449990000000001,0.8442607499999999,0.845765075,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",oracle,1000000,sim,0.84502,0.8434947500000001,0.846635125,200.0,200.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",oracle,10,sim,0.7279580000000001,0.7254699250000001,0.7305531999999999,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",oracle,10000,sim,0.8451219999999999,0.8443749499999998,0.84586115,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",oracle,10000000,sim,0.84616,0.8440695,0.8483202500000001,100.0,100.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",oracle,100,sim,0.8390329999999999,0.8380578,0.8399490249999999,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",oracle,100000,sim,0.845194,0.84419195,0.84623825,500.0,500.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",seq. halving (peer),1000,sim,0.609683,0.6067313499999999,0.612568625,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",seq. halving (peer),1000000,sim,0.7004900000000001,0.6977500000000001,0.7032207500000001,200.0,200.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",seq. halving (peer),10,sim,0.4658609999999999,0.4603610999999999,0.4711317249999999,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",seq. halving (peer),10000,sim,0.667393,0.6653448750000001,0.669415125,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",seq. halving (peer),10000000,sim,0.7077800000000001,0.70446,0.7111002500000002,100.0,100.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",seq. halving (peer),100,sim,0.5465419999999999,0.5426469499999999,0.550297025,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",seq. halving (peer),100000,sim,0.689744,0.6876599499999999,0.6919202,500.0,500.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",MIDIAN-VA,1000,sim,0.782732,0.7816299750000002,0.7837970500000001,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",MIDIAN-VA,1000000,sim,0.7921300000000001,0.7898048750000001,0.7945903750000002,200.0,200.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",MIDIAN-VA,10,sim,0.66427,0.661471975,0.66715805,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",MIDIAN-VA,10000,sim,0.7883620000000001,0.7872679250000001,0.7893960750000001,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",MIDIAN-VA,10000000,sim,0.7942400000000001,0.7909197499999999,0.7976404999999999,100.0,100.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",MIDIAN-VA,100,sim,0.764433,0.7627858750000001,0.76598665,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",MIDIAN-VA,100000,sim,0.788934,0.78743195,0.7904081,500.0,500.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",MIDIAN-A,1000,sim,0.764462,0.76323195,0.7655800749999999,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",MIDIAN-A,1000000,sim,0.763505,0.7607147500000001,0.76621025,200.0,200.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",MIDIAN-A,10,sim,0.676769,0.673915925,0.679734125,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",MIDIAN-A,10000,sim,0.762737,0.761560525,0.7638110249999999,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",MIDIAN-A,10000000,sim,0.76518,0.7617587500000003,0.7685700000000001,100.0,100.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",MIDIAN-A,100,sim,0.7581939999999999,0.75661495,0.7596680250000001,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",MIDIAN-A,100000,sim,0.762242,0.760726,0.7638521,500.0,500.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",MIDIAN,1000,sim,0.7149989999999999,0.7132738249999999,0.716863275,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",MIDIAN,1000000,sim,0.712735,0.708194,0.7166057499999999,200.0,200.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",MIDIAN,10,sim,0.633357,0.6294749000000001,0.6372826749999999,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",MIDIAN,10000,sim,0.7126500000000001,0.7108620000000001,0.714387125,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",MIDIAN,10000000,sim,0.7160799999999999,0.71038,0.7216810000000001,100.0,100.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",MIDIAN,100,sim,0.6986290000000002,0.696337825,0.7008834500000001,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",MIDIAN,100000,sim,0.7110359999999999,0.7085560000000001,0.71365205,500.0,500.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",flat probe argmax (online),1000,sim,0.766967,0.765943975,0.767942125,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",flat probe argmax (online),1000000,sim,0.7693000000000001,0.7671545000000001,0.771435,200.0,200.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",flat probe argmax (online),10,sim,0.685472,0.68279575,0.6883300749999999,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",flat probe argmax (online),10000,sim,0.768004,0.7669596500000001,0.769014,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",flat probe argmax (online),10000000,sim,0.7690299999999999,0.7657492499999999,0.77232125,100.0,100.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",flat probe argmax (online),100,sim,0.7636459999999999,0.7622208,0.7650903250000001,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",flat probe argmax (online),100000,sim,0.7670779999999999,0.76575395,0.7684082999999998,500.0,500.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",random,1000,sim,0.4188659999999999,0.4178529749999999,0.4198491499999999,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",random,1000000,sim,0.41998,0.417809875,0.4221749999999999,200.0,200.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",random,10,sim,0.419252,0.416102775,0.42246215,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",random,10000,sim,0.4188199999999999,0.417885,0.4198063499999999,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",random,10000000,sim,0.4176999999999999,0.4146497499999999,0.4208,100.0,100.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",random,100,sim,0.418338,0.416896975,0.419696025,1000.0,1000.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",random,100000,sim,0.41896,0.417634,0.4203039999999999,500.0,500.0,bernoulli_scale_v5,,
"colluding low-skill cartel, β = 0.5",declared argmax,"10000, 100000",sim,,,,,,bernoulli_scale_v5,,"not plotted at the simulated points: knn_router was not run there; declared_argmax there reads the programmatic (honest) channel, not the self-described one"
"colluding low-skill cartel, β = 0.5",RouterBench KNN router,"10000, 100000",sim,,,,,,bernoulli_scale_v5,,"not plotted at the simulated points: knn_router was not run there; declared_argmax there reads the programmatic (honest) channel, not the self-described one"
"colluding low-skill cartel, β = 0.5",ten frameworks (min),100,live,0.45230000000000004,,,10.0,,fw_live_n100_lowskill,,
"colluding low-skill cartel, β = 0.5",ten frameworks (max),100,live,0.48309999999999986,,,10.0,,fw_live_n100_lowskill,,
"colluding low-skill cartel, β = 0.5",ten frameworks (min),1000,live,0.35710000000000003,,,10.0,,fw_live_n1000_lowskill,,
"colluding low-skill cartel, β = 0.5",ten frameworks (max),1000,live,0.4109000000000001,,,10.0,,fw_live_n1000_lowskill,,
"colluding low-skill cartel, β = 0.5",ten frameworks (min),10000,live,0.2577777777777777,,,3.0,,fw_live_n10k_cartel,,
"colluding low-skill cartel, β = 0.5",ten frameworks (max),10000,live,0.3188888888888889,,,3.0,,fw_live_n10k_cartel,,
"colluding low-skill cartel, β = 0.5",ten frameworks (min),100000,live,0.27222222222222214,,,3.0,,fw_live_n100k_dd (clone-free shortlist),,
"colluding low-skill cartel, β = 0.5",ten frameworks (max),100000,live,0.5044444444444444,,,3.0,,fw_live_n100k_dd (clone-free shortlist),,
