n,regime,shortlist,arm,mean,seeds,list_mean,best,pos1,liar_frac,recovery
10000,beta0,tfidf,autogen,0.2699999999999999,3,0.32094097,0.52878475,0.29010415,0.0,-0.24509259429200742
10000,beta0,tfidf,camel,0.2566666666666666,3,0.32094097,0.52878475,0.29010415,0.0,-0.30924333914533086
10000,beta0,tfidf,crewai,0.3022222222222222,3,0.32094097,0.52878475,0.29010415,0.0,-0.09006162756314172
10000,beta0,tfidf,langgraph,0.2733333333333333,3,0.32094097,0.52878475,0.29010415,0.0,-0.22905490807867618
10000,beta0,tfidf,llama,0.3144444444444444,3,0.32094097,0.52878475,0.29010415,0.0,-0.03125677811426197
10000,beta0,tfidf,maf,0.2788888888888889,3,0.32094097,0.52878475,0.29010415,0.0,-0.20232543105645784
10000,beta0,tfidf,magentic,0.3666666666666666,3,0.32094097,0.52878475,0.29010415,0.0,0.22000030589458833
10000,beta0,tfidf,openai,0.3144444444444444,3,0.32094097,0.52878475,0.29010415,0.0,-0.03125677811426197
10000,beta0,tfidf,smol,0.2788888888888888,3,0.32094097,0.52878475,0.29010415,0.0,-0.2023254310564584
10000,beta0,embed,autogen,0.3833333333333333,3,0.45512846,0.6994445,0.38749996,0.0,-0.2938617379157349
10000,beta0,embed,camel,0.3911111111111111,3,0.45512846,0.6994445,0.38749996,0.0,-0.26202682981985953
10000,beta0,embed,langgraph,0.4244444444444444,3,0.45512846,0.6994445,0.38749996,0.0,-0.12559150940896494
10000,beta0,embed,llama,0.4399999999999999,3,0.45512846,0.6994445,0.38749996,0.0,-0.0619216932172144
10000,beta0,embed,maf,0.43,3,0.45512846,0.6994445,0.38749996,0.0,-0.10285228934048236
10000,beta0,embed,magentic,0.5711111111111111,3,0.45512846,0.6994445,0.38749996,0.0,0.4747239003989715
10000,beta0,embed,openai,0.4555555555555555,3,0.45512846,0.6994445,0.38749996,0.0,0.001748122974536598
10000,beta0,embed,smol,0.3966666666666666,3,0.45512846,0.6994445,0.38749996,0.0,-0.23928760975137717
10000,beta0,sota,autogen,0.3777777777777777,3,0.37607637,0.59524304,0.29322916,0.0,0.007763075147617139
10000,beta0,sota,camel,0.4866666666666666,3,0.37607637,0.59524304,0.29322916,0.0,0.5045945082410557
10000,beta0,sota,langgraph,0.3822222222222222,3,0.37607637,0.59524304,0.29322916,0.0,0.02804190915143109
10000,beta0,sota,llama,0.4155555555555555,3,0.37607637,0.59524304,0.29322916,0.0,0.18013316418003472
10000,beta0,sota,maf,0.41,3,0.37607637,0.59524304,0.29322916,0.0,0.15478462167526752
10000,beta0,sota,magentic,0.5155555555555557,3,0.37607637,0.59524304,0.29322916,0.0,0.6364069292658463
10000,beta0,sota,openai,0.3888888888888888,3,0.37607637,0.59524304,0.29322916,0.0,0.05846016015715151
10000,beta0,sota,smol,0.3355555555555555,3,0.37607637,0.59524304,0.29322916,0.0,-0.18488584788861415
10000,beta0,va_cohort,autogen,0.6455555555555555,3,0.4467882,0.835625,0.8313195,0.0,0.5111845463762495
10000,beta0,va_cohort,camel,0.5566666666666666,3,0.4467882,0.835625,0.8313195,0.0,0.28258249881187764
10000,beta0,va_cohort,langgraph,0.5533333333333333,3,0.4467882,0.835625,0.8313195,0.0,0.2740099220282138
10000,beta0,va_cohort,llama,0.6355555555555555,3,0.4467882,0.835625,0.8313195,0.0,0.4854668160252577
10000,beta0,va_cohort,maf,0.5555555555555556,3,0.4467882,0.835625,0.8313195,0.0,0.27972497321732315
10000,beta0,va_cohort,magentic,0.6777777777777777,3,0.4467882,0.835625,0.8313195,0.0,0.5940527886183342
10000,beta0,va_cohort,openai,0.5133333333333333,3,0.4467882,0.835625,0.8313195,0.0,0.17113900062424636
10000,beta0,va_cohort,smol,0.581111111111111,3,0.4467882,0.835625,0.8313195,0.0,0.34544806189207977
10000,cartel,tfidf,autogen,0.2688888888888889,3,0.32094097,0.52878475,0.29010415,0.7999999999999999,-0.25043848969645055
